"Time","Thread-0","Thread-1","Thread-2","Thread-3"
"86043","$38.61","$88.00","$88.00","$137.39"
"86043","$38.61","$88.00","$88.00","$137.39"
"86308","$38.61","$88.00","$137.39","$88.00"
"86307","$38.61","$88.00","$137.39","$88.00"
"86681","$38.61","$117.64","$107.76","$88.00"
"86683","$88.00","$88.00","$88.00","$88.00"
"86684","$88.00","$88.00","$88.00","$88.00"
"87530","$88.00","$88.00","$88.00","$88.00"
"87581","$36.14","$88.00","$88.00","$139.86"
"87582","$36.14","$88.00","$88.00","$139.86"
"87829","$36.14","$88.00","$139.86","$88.00"
"87830","$36.14","$88.00","$139.86","$88.00"
"87907","$88.00","$88.00","$88.00","$88.00"
"87908","$88.00","$88.00","$88.00","$88.00"
"87908","$88.00","$88.00","$88.00","$88.00"
"88932","$88.00","$88.00","$88.00","$88.00"
"89055","$88.00","$88.00","$142.46","$33.54"
"89056","$88.00","$88.00","$142.46","$33.54"
"89105","$33.54","$88.00","$142.46","$88.00"
"89106","$33.54","$88.00","$142.46","$88.00"
"89138","$88.00","$88.00","$88.00","$88.00"
"89139","$88.00","$88.00","$88.00","$88.00"
"89140","$88.00","$88.00","$88.00","$88.00"
"90170","$88.00","$88.00","$88.00","$88.00"
"90282","$88.00","$88.00","$145.18","$30.82"
"90281","$88.00","$88.00","$145.18","$30.82"
"90368","$88.00","$145.18","$88.00","$30.82"
"90369","$88.00","$145.18","$88.00","$30.82"
"90636","$88.00","$88.00","$88.00","$88.00"
"90637","$88.00","$88.00","$88.00","$88.00"
"90638","$88.00","$88.00","$88.00","$88.00"
"91409","$88.00","$88.00","$88.00","$88.00"
"91530","$88.00","$88.00","$148.04","$27.96"
"91531","$88.00","$88.00","$148.04","$27.96"
"91714","$88.00","$148.04","$88.00","$27.96"
"91715","$88.00","$148.04","$88.00","$27.96"
"92219","$69.99","$106.01","$88.00","$88.00"
"92220","$69.99","$106.01","$88.00","$88.00"
"92221","$88.00","$88.00","$88.00","$88.00"
"92737","$88.00","$88.00","$88.00","$88.00"
"92750","$88.00","$88.00","$151.04","$24.96"
"92752","$88.00","$88.00","$151.04","$24.96"
"93435","$88.00","$151.04","$88.00","$24.96"
"93436","$88.00","$151.04","$88.00","$24.96"
"93738","$88.00","$88.00","$88.00","$88.00"
"93739","$88.00","$88.00","$88.00","$88.00"
"93740","$88.00","$88.00","$88.00","$88.00"
"93979","$88.00","$88.00","$88.00","$88.00"
"94585","$88.00","$88.00","$154.19","$21.81"
"94586","$88.00","$88.00","$154.19","$21.81"
"94763","$21.81","$88.00","$154.19","$88.00"
"94764","$21.81","$88.00","$154.19","$88.00"
"94956","$21.81","$154.19","$88.00","$88.00"
"94961","$88.00","$88.00","$88.00","$88.00"
"94957","$88.00","$88.00","$88.00","$88.00"
"95790","$88.00","$88.00","$88.00","$88.00"
"95945","$18.50","$88.00","$88.00","$157.50"
"95944","$18.50","$88.00","$88.00","$157.50"
"95982","$88.00","$18.50","$88.00","$157.50"
"95983","$88.00","$18.50","$88.00","$157.50"
"96124","$88.00","$88.00","$88.00","$88.00"
"96125","$88.00","$88.00","$88.00","$88.00"
"96126","$88.00","$88.00","$88.00","$88.00"
"96958","$88.00","$88.00","$88.00","$88.00"
"97001","$160.98","$15.02","$88.00","$88.00"
"97001","$160.98","$15.02","$88.00","$88.00"
"97281","$160.98","$88.00","$15.02","$88.00"
"97282","$160.98","$88.00","$15.02","$88.00"
"97495","$88.00","$88.00","$88.00","$88.00"
"97496","$88.00","$88.00","$88.00","$88.00"
"97495","$88.00","$88.00","$88.00","$88.00"
"98030","$88.00","$88.00","$88.00","$88.00"
"98427","$88.00","$164.63","$11.37","$88.00"
"98430","$88.00","$164.63","$11.37","$88.00"
"98852","$88.00","$164.63","$88.00","$11.37"
"98852","$88.00","$164.63","$88.00","$11.37"
"99014","$88.00","$88.00","$88.00","$88.00"
"99019","$88.00","$88.00","$88.00","$88.00"
"99019","$88.00","$88.00","$88.00","$88.00"
"99576","$88.00","$88.00","$88.00","$88.00"
"100212","$88.00","$88.00","$168.46","$7.54"
"100213","$88.00","$88.00","$168.46","$7.54"
"100249","$88.00","$168.46","$88.00","$7.54"
"100250","$88.00","$168.46","$88.00","$7.54"
"100543","$88.00","$88.00","$88.00","$88.00"
"100543","$88.00","$88.00","$88.00","$88.00"
"100544","$88.00","$88.00","$88.00","$88.00"
"101557","$88.00","$88.00","$88.00","$88.00"
"101558","$88.00","$88.00","$88.00","$88.00"
"101577","$3.52","$88.00","$172.48","$88.00"
"101578","$3.52","$88.00","$172.48","$88.00"
"101579","$3.52","$88.00","$172.48","$88.00"
"101760","$88.00","$88.00","$88.00","$88.00"
"101761","$88.00","$88.00","$88.00","$88.00"
"101762","$88.00","$88.00","$88.00","$88.00"
"102611","$88.00","$88.00","$88.00","$88.00"
"102942","-$0.70","$88.00","$88.00","$176.70"
"102943","-$0.70","$88.00","$88.00","$176.70"
"102987","$88.00","-$0.70","$88.00","$176.70"
"102988","$88.00","-$0.70","$88.00","$176.70"
"103083","$88.00","$88.00","$88.00","$88.00"
"103084","$88.00","$88.00","$88.00","$88.00"
"103085","$88.00","$88.00","$88.00","$88.00"
"103963","$88.00","$88.00","$88.00","$88.00"
"104208","$181.14","-$5.14","$88.00","$88.00"
"104209","$181.14","-$5.14","$88.00","$88.00"
"104311","$88.00","-$5.14","$88.00","$181.14"
"104315","$88.00","-$5.14","$88.00","$181.14"
"104394","$88.00","$88.00","$88.00","$88.00"
"104395","$88.00","$88.00","$88.00","$88.00"
"104395","$88.00","$88.00","$88.00","$88.00"
"105335","$88.00","$88.00","$88.00","$88.00"
"105433","$185.80","-$9.80","$88.00","$88.00"
"105434","$185.80","-$9.80","$88.00","$88.00"
"105507","$88.00","-$9.80","$88.00","$185.80"
"105508","$88.00","-$9.80","$88.00","$185.80"
"105712","$88.00","$88.00","$88.00","$88.00"
"105713","$88.00","$88.00","$88.00","$88.00"
"105713","$88.00","$88.00","$88.00","$88.00"
"106530","$88.00","$88.00","$88.00","$88.00"
"106675","$190.69","-$14.69","$88.00","$88.00"
"106676","$190.69","-$14.69","$88.00","$88.00"
"106831","$88.00","-$14.69","$88.00","$190.69"
"106832","$88.00","-$14.69","$88.00","$190.69"
"107029","$88.00","$88.00","$88.00","$88.00"
"107029","$88.00","$88.00","$88.00","$88.00"
"107030","$88.00","$88.00","$88.00","$88.00"
"107855","$88.00","$88.00","$88.00","$88.00"
"107900","$195.82","-$19.82","$88.00","$88.00"
"107900","$195.82","-$19.82","$88.00","$88.00"
"108152","$88.00","-$19.82","$88.00","$195.82"
"108153","$88.00","-$19.82","$88.00","$195.82"
"108346","$88.00","$88.00","$88.00","$88.00"
"108346","$88.00","$88.00","$88.00","$88.00"
"108345","$88.00","$88.00","$88.00","$88.00"
"109130","$88.00","$88.00","$88.00","$88.00"
"109166","$201.21","-$25.21","$88.00","$88.00"
"109166","$201.21","-$25.21","$88.00","$88.00"
"109369","$88.00","-$25.21","$88.00","$201.21"
"109370","$88.00","-$25.21","$88.00","$201.21"
"109657","$88.00","$88.00","-$2.57","$178.57"
"109658","$88.00","$88.00","-$2.57","$178.57"
"109662","$88.00","$88.00","$88.00","$88.00"
"110392","$88.00","$88.00","$88.00","$88.00"
"110394","$206.87","-$30.87","$88.00","$88.00"
"110396","$206.87","-$30.87","$88.00","$88.00"
"110677","$88.00","-$30.87","$88.00","$206.87"
"110686","$88.00","-$30.87","$88.00","$206.87"
"110969","$88.00","-$30.87","$206.87","$88.00"
"110973","$88.00","$88.00","$88.00","$88.00"
"110970","$88.00","$88.00","$88.00","$88.00"
"111627","$88.00","$88.00","$88.00","$88.00"
"111709","$212.82","-$36.82","$88.00","$88.00"
"111710","$212.82","-$36.82","$88.00","$88.00"
"111990","$88.00","-$36.82","$88.00","$212.82"
